Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2015,Kia,Sorento,LX,Suv,automatic,5xyktca69fg566472,California,5,16639,white,black,kia motors america  inc,20500,21500,1000,4.651162791,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca69fg561319,California,5,9393,white,beige,kia motors america  inc,20800,21500,700,3.255813953,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c51ek116351,California,45,1331,gray,black,financial services remarketing (lease),31900,30000,-1900,-6.333333333,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1310987,California,41,14282,white,black,volvo na rep/world omni,27500,27750,250,0.9009009009,Low Margin,2015,1,1,2015-01,Thu Jan 29 2015 04:30:00
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c57ed129731,California,43,2641,gray,black,financial services remarketing (lease),66000,67000,1000,1.492537313,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,California,1,5554,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350,10900,-4450,-40.82568807,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:00:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593089,California,34,14943,black,black,the hertz corporation,69000,65000,-4000,-6.153846154,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7128460,California,2,28617,black,black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,-2100,-21.42857143,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,wauffafl3en030343,California,42,9557,white,black,audi mission viejo,32100,32250,150,0.4651162791,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d37e9218789,California,3,4809,red,black,d/m auto sales inc,26300,17500,-8800,-50.28571429,Low Margin,2015,1,1,2015-01,Tue Jan 20 2015 04:00:00
2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,wauhgafc0en062916,California,48,14414,black,black,desert auto trade,47300,49750,2450,4.924623116,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a73fg353538,California,48,2034,red,tan,kia motors finance,15150,17700,2550,14.40677966,Medium Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,California,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,-3350,-27.91666667,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca66fg561407,California,5,14634,silver,black,kia motors america  inc,20600,21500,900,4.186046512,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sbxe7120097,California,,15686,blue,black,avis rac/san leandro,13900,10600,-3300,-31.13207547,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,California,2,11398,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750,14100,-650,-4.609929078,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:00:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh001562,California,,8311,red,—,avis tra,15200,4200,-11000,-261.9047619,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Audi,Q5,2.0T Premium Plus quattro,Suv,automatic,wa1lfafpxea085074,California,49,7983,white,black,audi north scottsdale,37100,40000,2900,7.25,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9134494,California,17,13441,black,black,wells fargo dealer services,17750,17000,-750,-4.411764706,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 15:00:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169260,California,34,8819,black,black,the hertz corporation,68000,67200,-800,-1.19047619,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,California,19,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,-17100,-237.5,Low Margin,2015,7,3,2015-07,Tue Jul 07 2015 09:30:00
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d31e9134662,California,,33450,black,black,avis rac/san leandro,20100,14700,-5400,-36.73469388,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,California,49,5826,gray,black,audi north scottsdale,24000,23750,-250,-1.052631579,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,California,38,10736,black,black,the hertz corporation,67000,65000,-2000,-3.076923077,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 12:30:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh038482,California,,9281,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,-6650,-78.23529412,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,California,42,16506,brown,brown,volvo na rep/world omni,32100,32500,400,1.230769231,Low Margin,2015,2,1,2015-02,Thu Feb 26 2015 04:30:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,California,48,12725,beige,beige,volvo na rep/world omni,32300,32500,200,0.6153846154,Low Margin,2015,2,1,2015-02,Thu Feb 12 2015 04:30:00
2014,BMW,X5,sDrive35i,Suv,automatic,5uxkr2c52e0h33130,California,,11278,gray,black,avis rac/san leandro,50400,34000,-16400,-48.23529412,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238302,California,42,11874,gray,black,midway hfc fleet/ars,22200,19500,-2700,-13.84615385,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7105471,California,42,37888,gray,black,enterprise vehicle exchange/orange,11600,11500,-100,-0.8695652174,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:30:00
2014,Audi,SQ5,3.0T Premium Plus quattro,Suv,automatic,wa1cgafp4ea030312,California,42,9606,white,black,audi of downtown l a,48600,47500,-1100,-2.315789474,Low Margin,2015,1,1,2015-01,Thu Jan 29 2015 04:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca60fg565226,California,5,13757,red,black,kia motors america  inc,20600,20750,150,0.7228915663,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Audi,S5,Premium Plus quattro,Coupe,automatic,waucgafrxea001689,California,38,5875,black,black,fratelli investment group,46500,44500,-2000,-4.494382022,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca68fg559481,California,44,12862,gray,black,kia motors america  inc,20700,21000,300,1.428571429,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Buick,Verano,Convenience Group,Sedan,,1g4pr5sk8e4175320,California,2,19531,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15000,9200,-5800,-63.04347826,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 04:00:00
2015,Chevrolet,Suburban,LTZ,Suv,automatic,1gnskkkc3fr187901,California,45,11426,black,black,midway hfc fleet/ars,57300,59900,2600,4.340567613,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c50ek108497,California,5,111,black,—,financial services remarketing (lease),32200,30500,-1700,-5.573770492,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c56ed593069,California,38,16360,black,black,the hertz corporation,65000,64250,-750,-1.167315175,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 04:30:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c58ek106688,California,45,9027,white,black,financial services remarketing (lease),30200,27500,-2700,-9.818181818,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2014,Cadillac,ELR,Base,Coupe,automatic,1g6rr1e48eu601450,California,47,4436,gray,black,rogue cu,49400,44000,-5400,-12.27272727,Low Margin,2015,2,1,2015-02,Wed Feb 04 2015 04:30:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af2fh014813,California,,9208,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15700,10000,-5700,-57,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c50ed169281,California,32,13205,white,black,the hertz corporation,66000,65000,-1000,-1.538461538,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 04:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb9f1202043,California,41,11846,white,beige,volvo na rep/world omni,31300,30000,-1300,-4.333333333,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Cruze,1LT,Sedan,,1g1pc5sb6e7128803,California,,38261,white,—,avis tra,11450,2000,-9450,-472.5,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,BMW,X6,xDrive35i,Suv,automatic,5uxfg2c53e0h11080,California,4,379,white,black,financial services remarketing (lease),54800,51700,-3100,-5.996131528,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb1f1201503,California,42,12242,black,gray,volvo na rep/world omni,31200,30000,-1200,-4,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7118217,California,34,40661,silver,black,avis corporation,13050,13000,-50,-0.3846153846,Low Margin,2015,1,1,2015-01,Thu Jan 22 2015 03:30:00
2014,Acura,ILX,Technology Package,Sedan,automatic,19vde1f70ee008913,California,25,9051,gray,black,american honda motor company,22700,21250,-1450,-6.823529412,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca67fg570973,California,5,13878,silver,black,kia motors america  inc,20600,20750,150,0.7228915663,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,California,37,10906,silver,black,volvo na rep/world omni,31500,30000,-1500,-5,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn313644,California,,10678,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,-3550,-30.60344828,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c51ed129563,California,42,7305,white,black,the hertz corporation,65000,66100,1100,1.664145234,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,California,1,4314,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,-4000,-34.7826087,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:00:00
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,California,42,5304,blue,black,kia motors america  inc,39500,40000,500,1.25,Low Margin,2015,2,1,2015-02,Tue Feb 17 2015 04:30:00
